"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","aug_strength","augmentation","batch_size","dataset_path","dropout_rate","input_shape","learning_rate","num_classes","num_epochs","num_samples","scheduler_factor","scheduler_patience","use_augmentation","use_lr_scheduler","weight_decay","fold_1_val_acc","fold_2_val_acc","fold_3_val_acc","fold_4_val_acc","mean_val_acc","std_val_acc","train_acc_fold_1","train_acc_fold_2","train_acc_fold_3","train_acc_fold_4","train_loss_fold_1","train_loss_fold_2","train_loss_fold_3","train_loss_fold_4","val_acc_fold_1","val_acc_fold_2","val_acc_fold_3","val_acc_fold_4","val_loss_fold_1","val_loss_fold_2","val_loss_fold_3","val_loss_fold_4"
"2025-03-22 13:02:48","1.3min","1aa8c01d9adc457db11168425dcd3edc","trial_23","LOCAL","hyperparameter_search.py","jvitt","FAILED","","disabled","16","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.2670345515117646","3","False","True","2.0142723480817394e-05","0.555","0.535","0.5025","0.52","0.528125","0.01931442142545309","0.8983333333333333","0.88","0.8866666666666667","0.905","0.43348421931266784","0.5105962016185125","0.4939367699623108","0.43129925966262816","0.4925","0.535","0.4725","0.49","1.938903946876526","1.782661497592926","2.0528173828125","1.8983790540695191"
"2025-03-22 12:44:49","2.6min","71e8c54ba2424d7ea7ddf30fb881aa72","trial_11","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","4","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.41930868241585756","7","False","True","1.0101492103280279e-05","0.5525","0.4875","0.505","0.565","0.5275","0.032161700825671505","0.6258333333333334","0.65","0.6691666666666667","0.63","1.2346473518510659","1.1944142477711042","1.2272114311655362","1.2762941060463588","0.505","0.4875","0.505","0.565","1.9609916853904723","2.0163542574644087","1.9986305683851242","1.8123743853718042"
"2025-03-22 12:30:14","1.3min","7dc59162564b46d1bf16905d82a0c6a2","trial_3","LOCAL","hyperparameter_search.py","jvitt","FINISHED","","disabled","16","data/preprocessed/esc50_preprocessed.npz","0.48783385110582345","(64, 501)","0.00018096","50","10","2000","","","False","False","9.717775305059631e-05","0.5425","0.48","0.495","0.565","0.520625","0.03447712103700074","0.8125","0.8016666666666666","0.8266666666666667","0.8541666666666666","0.745732862552007","0.8013393902778625","0.7442352060476939","0.6485717521111171","0.5425","0.48","0.435","0.56","1.9171917295455934","1.9496776795387267","2.1973425006866454","1.6028679418563843"
"2025-03-22 12:36:41","1.6min","929933a61d754d91bfee2475cc919364","trial_7","LOCAL","hyperparameter_search.py","jvitt","FAILED","0.2641531692142519","enabled","8","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","","","True","False","2.107047280657824e-06","0.5","0.4475","0.505","0.48","0.483125","0.022595284353156518","0.5741666666666667","0.61","0.6083333333333333","0.6325","1.439716750383377","1.412453946272532","1.368217962582906","1.3415087513128916","0.5","0.4225","0.505","0.4575","2.0775571143627167","2.355585615634918","1.7790887773036956","2.2824879264831544"
"2025-03-22 12:28:57","1.3min","544e54bf88c1430982e2374fb9cbeb9d","trial_2","LOCAL","hyperparameter_search.py","jvitt","FINISHED","0.14881529393791154","enabled","16","data/preprocessed/esc50_preprocessed.npz","0.13906884560255356","(64, 501)","0.00018096","50","10","2000","","","True","False","1.5673095467235414e-06","0.49","0.455","0.47","0.51","0.48125","0.020728904939721248","0.7008333333333333","0.6858333333333333","0.7083333333333334","0.6925","1.1025245316823324","1.114887634118398","1.1088683621088664","1.1862643806139628","0.49","0.375","0.35","0.51","1.8353900861740113","2.5234412288665773","2.7885460090637206","1.799039831161499"
"2025-03-22 12:26:02","1.7min","1b8a331f639d457b8e50b333735a2571","trial_0","LOCAL","hyperparameter_search.py","jvitt","FINISHED","0.17272998688284025","enabled","8","data/preprocessed/esc50_preprocessed.npz","0.3832290311184182","(64, 501)","0.00018096","50","10","2000","0.4879639408647978","3","True","True","2.9380279387035354e-06","0.46","0.455","0.505","0.49","0.4775","0.02076655965729518","0.5358333333333334","0.5983333333333334","0.6025","0.575","1.589505378405253","1.4795494703451793","1.3677560887734095","1.5052861766020458","0.405","0.455","0.505","0.4175","2.3193664145469666","1.9906231701374053","1.9923219060897828","2.291718075275421"
"2025-03-22 12:31:30","1.3min","0015f82c90ee4d7da898063849865f19","trial_4","LOCAL","hyperparameter_search.py","jvitt","FINISHED","0.31707843326329943","enabled","16","data/preprocessed/esc50_preprocessed.npz","0.43149500366077176","(64, 501)","0.00018096","50","10","2000","","","True","False","3.87211803217458e-06","0.4525","0.48","0.4775","0.4575","0.466875","0.012038350177661373","0.5825","0.6291666666666667","0.6433333333333333","0.6491666666666667","1.466659767627716","1.396058081785838","1.3215078099568685","1.3602862787246703","0.4525","0.48","0.4775","0.4475","1.9931614923477172","1.9133233976364137","2.0078265190124513","2.0425927734375"
"2025-03-22 12:40:57","2.7min","a53c46f5446f4cd2aabdf8570bef9b92","trial_9","LOCAL","hyperparameter_search.py","jvitt","FAILED","0.14794614693347313","enabled","4","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","","","True","False","1.9112758217777896e-05","0.4425","0.47","0.4175","0.465","0.44875000000000004","0.020804146221366553","0.4925","0.5325","0.5033333333333333","0.5133333333333333","1.7475211696823438","1.6489795601367951","1.7412018808722496","1.7127095057566961","0.4425","0.47","0.4175","0.465","2.151539086699486","2.0420564851164817","2.429230713248253","2.0052202320098877"
"2025-03-22 12:32:48","1.2min","124916b95ef14b189ec5686aa6433b0d","trial_5","LOCAL","hyperparameter_search.py","jvitt","FAILED","0.4452413703502375","enabled","32","data/preprocessed/esc50_preprocessed.npz","0.3916028672163949","(64, 501)","0.00018096","50","10","2000","0.12961786069363615","9","True","True","0.00020736445177905034","0.4125","0.435","0.42","0.4825","0.43749999999999994","0.027214426321346553","0.6291666666666667","0.66","0.675","0.6183333333333333","1.3565216382344565","1.3468430582682291","1.2845221424102784","1.4019362036387126","0.4125","0.4025","0.42","0.47","2.424081964492798","2.2066199588775635","2.102532424926758","1.864729928970337"
"2025-03-22 12:38:18","2.7min","48f0d686b4584a96a7e16e7d3b4ae903","trial_8","LOCAL","hyperparameter_search.py","jvitt","FAILED","0.422976062065625","enabled","4","data/preprocessed/esc50_preprocessed.npz","","(64, 501)","0.00018096","50","10","2000","0.17462802355441434","9","True","True","3.0455368715396793e-06","0.3925","0.4175","0.385","0.4325","0.406875","0.01907018287799044","0.4558333333333333","0.4708333333333333","0.4716666666666667","0.4266666666666667","1.9187136965990066","1.8529833422104518","1.8799311810731887","1.9535361259182293","0.35","0.405","0.385","0.39","2.6664883953332903","2.53556979238987","2.277902270630002","2.3438668346405027"
